dataset_name,platform,modality,species,tissue,disease,n_samples,data_access_link,origin,source_paper_title,source_paper_doi,source_paper_year,source_paper_id,found_via,data_downloadable
Human triple negative breast cancer MIBI dataset,MIBI-TOF,spatial proteomics,Human,Triple-negative breast cancer,Triple negative breast cancer,41,https://mibi-share.ionpath.com/,reused,SOTIP is a versatile method for microenvironment modeling with spatial omics data,10.1038/s41467-022-34867-5,2022,PMC9705407,literature_search,"no (link is a site root, not a dataset)"
TOF-SIMS liver dataset,TOF-SIMS / SEAM (spatial single nuclear metabolomics),,Mouse,Liver,Liver fibrosis and healthy,2,https://github.com/yuanzhiyuan/SEAM/tree/master/SEAM/data/raw_tar,reused,SOTIP is a versatile method for microenvironment modeling with spatial omics data,10.1038/s41467-022-34867-5,2022,PMC9705407,literature_search,yes (http 200)
Dorsolateral Prefrontal Cortex (DLPFC) dataset,Spatial transcriptomics,,Human,Dorsolateral prefrontal cortex,normal,,http://research.libd.org/globus,reused,Spatially aligned graph transfer learning for characterizing spatial regulatory heterogeneity,10.1093/bib/bbaf021,2025,PMC11752617,literature_search,yes (http 200)
10X Visium mouse brain coronal data,10X Visium,spatial transcriptomics,Mouse,Brain,normal,,https://www.10xgenomics.com/resources/datasets/,reused,Spatially aligned graph transfer learning for characterizing spatial regulatory heterogeneity,10.1093/bib/bbaf021,2025,PMC11752617,literature_search,yes (http 200)
Slide-seqV2 mouse cerebellar data,Slide-seqV2,spatial transcriptomics,Mouse,Cerebellum,normal,,https://singlecell.broadinstitute.org/single_cell/study/SCP948,reused,Spatially aligned graph transfer learning for characterizing spatial regulatory heterogeneity,10.1093/bib/bbaf021,2025,PMC11752617,literature_search,yes (http 200)
Stereo-seq Drosophila embryo and larval datasets,Stereo-seq,spatial transcriptomics,Drosophila melanogaster,Embryo and larva,normal,,https://db.cngb.org/stomics/flysta3d/,reused,Spatially aligned graph transfer learning for characterizing spatial regulatory heterogeneity,10.1093/bib/bbaf021,2025,PMC11752617,literature_search,yes (http 200)
Human Dorsolateral Prefrontal Cortex (DLPFC) datasets,10x Visium,spatial transcriptomics,Human,Dorsolateral prefrontal cortex,,12,http://spatial.libd.org/spatialLIBD,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,no (http 404)
Pancreatic ductal adenocarcinoma (PDAC) tissue slice,10x Visium,spatial transcriptomics,Human,Pancreas,Pancreatic ductal adenocarcinoma,1,,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,no link
Mouse embryo slice,Stereo-seq,spatial transcriptomics,Mouse,Embryo,,1,https://github.com/JinmiaoChenLab/SEDR_analyses,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,yes (http 200)
Human embryo slice,10x Visium,spatial transcriptomics,Human,Embryo,,1,,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,no link
Mouse olfactory bulb dataset,Slide-seqV2,spatial transcriptomics,Mouse,Olfactory bulb,,1,https://singlecell.broadinstitute.org/single_cell/study/SCP815,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,yes (http 200)
Mouse hippocampus dataset,Slide-seqV2,spatial transcriptomics,Mouse,Hippocampus,,1,,reused,Multi-modal domain adaptation for revealing spatial functional landscape from spatially resolved transcriptomics,10.1093/bib/bbae257,2024,PMC11141295,literature_search,no link
Human Dorsolateral Prefrontal Cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,Human,Dorsolateral prefrontal cortex,,12,,reused,stHGC: a self-supervised graph representation learning for spatial domain recognition with hybrid graph and spatial regularization,10.1093/bib/bbae666,2025,PMC11663487,literature_search,no link
Mouse olfactory bulb dataset (Stereo-seq),Stereo-seq,spatial transcriptomics,Mouse,Olfactory bulb,,1,,reused,stHGC: a self-supervised graph representation learning for spatial domain recognition with hybrid graph and spatial regularization,10.1093/bib/bbae666,2025,PMC11663487,literature_search,no link
Mouse olfactory bulb dataset (Slide-seqV2),Slide-seqV2,spatial transcriptomics,Mouse,Olfactory bulb,,1,,reused,stHGC: a self-supervised graph representation learning for spatial domain recognition with hybrid graph and spatial regularization,10.1093/bib/bbae666,2025,PMC11663487,literature_search,no link
Human breast cancer (HBC) dataset,10x Visium,spatial transcriptomics,Human,Breast cancer tissue,Breast cancer,1,,reused,stHGC: a self-supervised graph representation learning for spatial domain recognition with hybrid graph and spatial regularization,10.1093/bib/bbae666,2025,PMC11663487,literature_search,no link
Human bronchial adenoma (BA) dataset,10x Visium,spatial transcriptomics,Human,Bronchial adenoma tissue,Bronchiolar adenoma,1,,reused,stHGC: a self-supervised graph representation learning for spatial domain recognition with hybrid graph and spatial regularization,10.1093/bib/bbae666,2025,PMC11663487,literature_search,no link
Zebrafish melanoma spatial transcriptomics,10x Visium,spatial transcriptomics,Zebrafish,Skin / Melanoma,Melanoma,3,GSE159709,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (GEO record GSE159709)
Mouse brain spatial transcriptomics,,,Mouse,Brain,Healthy,,GSE240715,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (GEO record GSE240715)
"Tumor spatial transcriptomics (human, mouse, rat)",,,"Human, mouse, rat","Tumors (heart, brain, lung, muscle, colon)",Tumor,,GSE211895,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (GEO record GSE211895)
Human spatial transcriptomics,,,Human,,Tumor,,GSE184510,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (GEO record GSE184510)
Pediatric and adult malignant gliomas spatial transcriptomics,,,Human,Brain / Glioma,Malignant glioma,,GSE194329,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (GEO record GSE194329)
Human primary liver cancer spatial transcriptomics,,,Human,Liver,Primary liver cancer,10,HRA000437,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (http 200)
Axolotl brain spatial transcriptomics,Stereo-seq,spatial transcriptomics,Axolotl,Brain,Regeneration,,CNP0002068,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,yes (http 200)
MERFISH dataset,MERFISH,spatial transcriptomics,,Hypothalamic preoptic region,,,,reused,STMiner: Gene-centric spatial transcriptomics for deciphering tumor tissues,10.1016/j.xgen.2025.100771,2025,PMC11872602,literature_search,no link
Mouse pluripotent embryonic stem cell hyper LOPIT dataset (E14TG2a),"hyper LOPIT (TMT 10-plex, SPS-MS3)",,Mouse,Embryonic stem cells,pluripotent,2,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
Drosophila organelle mapping dataset,LOPIT (iTRAQ 4-plex),,Drosophila melanogaster,,healthy,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
Chicken DT40 lymphocyte organelle proteome dataset,LOPIT (iTRAQ 4-plex),,Chicken,Lymphocytes (DT40 cell line),healthy,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
Mouse pluripotent embryonic stem cells LOPIT dataset (iTRAQ 8-plex),LOPIT (iTRAQ 8-plex),,Mouse,Pluripotent embryonic stem cells,healthy,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
Human bone osteosarcoma epithelial (U2-OS) cell line dataset,hyper LOPIT (TMT 10-plex),,Human,U2-OS cell line,healthy,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
HeLa cell line differential centrifugation dataset,Differential centrifugation (SILAC),,Human,HeLa cell line,healthy,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
HeLa wild type cell line dataset,Differential centrifugation (SILAC),,Human,HeLa cell line,wild type control,,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
HeLa AP5Z1-KO1 knockout cell line dataset,Differential centrifugation (SILAC),,Human,HeLa cell line,CRISPR-CAS9 knockout (AP5Z1-KO1),,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
HeLa AP5Z1-KO2 knockout cell line dataset,Differential centrifugation (SILAC),,Human,HeLa cell line,CRISPR-CAS9 knockout (AP5Z1-KO2),,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
Primary fibroblast spatio-temporal proteomics datasets during HCMV infection and mock control,TMT-based MS quantification,,Human,Primary fibroblasts,"Human cytomegalovirus (HCMV) infection / mock control (24, 48, 72, 96, 120 hpi)",10,,reused,A Bayesian mixture modelling approach for spatial proteomics,10.1371/journal.pcbi.1006516,2018,PMC6258510,literature_search,no link
seqFISH mouse organogenesis dataset,seqFISH,spatial transcriptomics,mouse,organogenesis,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
osmFISH AllenVISp dataset,osmFISH,spatial transcriptomics,mouse,brain,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
STARmap AllenVISp dataset,STARmap,spatial transcriptomics,mouse,brain,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
MERFISH Moffit dataset,MERFISH,spatial transcriptomics,,,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Visium mouse liver c1 sample,Visium,spatial transcriptomics,mouse,liver,,1,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Visium human intestine A1 sample,Visium,spatial transcriptomics,human,intestine,,1,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Visium human breast cancer sample 1142243F,Visium,spatial transcriptomics,human,breast cancer,,1,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Visium human melanoma dataset,Visium,spatial transcriptomics,human,skin/melanoma,cutaneous malignant melanoma,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Day 14 Chicken Heart dataset,,,chicken,heart,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
Developing Mouse Brain Atlas dataset,,,mouse,brain,,,,reused,Reliable imputation of spatial transcriptomes with uncertainty estimation and spatial regularization,10.1016/j.patter.2024.101021,2024,PMC11368697,literature_search,no link
High-grade serous carcinoma ovarian cancer dataset,Vectra-Polaris multi-spectral immunohistochemistry (IHC),,,tumor region,high-grade serous carcinoma (HGSOC),128,http://juliawrobel.com/MI_tutorial/MI_Data.html,reused,A Spatial Omnibus Test (SPOT) for Spatial Proteomic Data,10.1093/bioinformatics/btae425,2024,PMC11257711,literature_search,unverified (unreachable during check: URLError)
Non-small cell lung cancer dataset,multiplexed immunohistochemistry (mIHC),,,tumor,non-small cell lung cancer,153,http://juliawrobel.com/MI_tutorial/MI_Data.html,reused,A Spatial Omnibus Test (SPOT) for Spatial Proteomic Data,10.1093/bioinformatics/btae425,2024,PMC11257711,literature_search,unverified (unreachable during check: URLError)
human dorsolateral prefrontal cortex dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
Slide-seqV2 mouse hippocampus dataset,Slide-seqV2,spatial transcriptomics,mouse,hippocampus,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
Slide-seq mouse hippocampus dataset,Slide-seq,spatial transcriptomics,mouse,hippocampus,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
10x Visium mouse hippocampus dataset,10x Visium,spatial transcriptomics,mouse,hippocampus,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
Stereo-seq mouse olfactory bulb dataset,Stereo-seq,spatial transcriptomics,mouse,olfactory bulb,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
Slide-seqV2 mouse olfactory bulb dataset,Slide-seqV2,spatial transcriptomics,mouse,olfactory bulb,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
10x Visium coronal mouse brain dataset,10x Visium,spatial transcriptomics,mouse,brain,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
10x Visium mouse posterior brain dataset,10x Visium,spatial transcriptomics,mouse,posterior brain,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
Slide-seq pseudo-3D hippocampus dataset,Slide-seq,spatial transcriptomics,mouse,hippocampus,healthy,7,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
STARMAP single-cell resolution dataset,STARMAP,spatial transcriptomics,,,healthy,,,reused,Deciphering spatial domains from spatially resolved transcriptomics with an adaptive graph attention auto-encoder,10.1038/s41467-022-29439-6,2022,PMC8976049,literature_search,no link
CK-p25 mouse coronal brain dataset,10x Genomics Visium Spatial Proteogenomics (SPG),spatial transcriptomics,Mouse,Coronal brain,,,https://www.10xgenomics.com/resources/datasets/,reused,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies,10.1101/2024.02.02.578662,2024,PMC10862910,literature_search,yes (http 200)
Visium SPG human dorsolateral prefrontal cortex (DLPFC) dataset,10x Genomics Visium Spatial Proteogenomics (SPG),spatial transcriptomics,Human,Dorsolateral prefrontal cortex (brain),Neurotypical,4,https://www.10xgenomics.com/resources/datasets/,reused,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies,10.1101/2024.02.02.578662,2024,PMC10862910,literature_search,yes (http 200)
Visium SPG human inferior temporal cortex dataset,10x Genomics Visium Spatial Proteogenomics (SPG),spatial transcriptomics,Human,Inferior temporal cortex (brain),Late-stage Alzheimer’s disease (AD),,https://www.10xgenomics.com/resources/datasets/,reused,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies,10.1101/2024.02.02.578662,2024,PMC10862910,literature_search,yes (http 200)
Visium human DLPFC H&E dataset,10x Genomics Visium Spatial platform,spatial transcriptomics,Human,Dorsolateral prefrontal cortex (brain),,12,https://www.10xgenomics.com/resources/datasets/,reused,Spatial domain detection using contrastive self-supervised learning for spatial multi-omics technologies,10.1101/2024.02.02.578662,2024,PMC10862910,literature_search,yes (http 200)
Vizgen pretraining dataset,Vizgen,,,,,,https://info.vizgen.com/ffpe-showcase,reused,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,10.1101/2025.07.04.663102,2025,bio_eb450adc6f25,literature_search,yes (http 200)
Nanostring pretraining dataset,Nanostring,,,,,,https://nanostring.com/resources,reused,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,10.1101/2025.07.04.663102,2025,bio_eb450adc6f25,literature_search,yes (http 200)
10x Genomics pretraining dataset,10xgenomics,,,,,,https://www.10xgenomics.com/datasets,reused,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,10.1101/2025.07.04.663102,2025,bio_eb450adc6f25,literature_search,yes (http 200)
CosMx human liver dataset,CosMx,spatial transcriptomics,human,liver,,,,reused,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,10.1101/2025.07.04.663102,2025,bio_eb450adc6f25,literature_search,no link
Xenium human lung dataset,Xenium,spatial transcriptomics,human,lung,,,https://www.10xgenomics.com/datasets,reused,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,10.1101/2025.07.04.663102,2025,bio_eb450adc6f25,literature_search,yes (http 200)
"RaviGBM GBM dataset (UKF243_T_ST, etc.)",10x Visium,spatial transcriptomics,human,brain,glioblastoma,18,https://datadryad.org/dataset/10.5061/dryad.h70rxwdmj,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no (http 404)
seqFISH mouse embryo dataset (embryo1),seqFISH,spatial transcriptomics,mouse,embryo / spinal cord,healthy (development),1,https://marionilab.cruk.cam.ac.uk/SpatialMouseAtlas/,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,unverified (unreachable during check: http 503)
Barkley2022 datasets,Spatial transcriptomics (early version) / 10x Visium,spatial transcriptomics,human,"various (breast, GIST, liver, ovary, pancreas, uterus)","various (breast cancer, gastrointestinal stromal tumor, liver hepatocellular carcinoma, ovarian cancer, pancreatic ductal adenocarcinoma, uterine corpus endometrial carcinoma)",10,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
Bergenstrahle2021 datasets,Spatial transcriptomics / ST,spatial transcriptomics,human,intestine / skin,"various (intestine cancer, squamous cell carcinoma)",8,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
Berglund2018 datasets,Spatial transcriptomics,,human,prostate,prostate cancer,14,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
WuPLC datasets,Spatial transcriptomics,,human,liver,primary liver carcinoma,7,https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000437,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,yes (http 200)
Gouin2021 datasets,Spatial transcriptomics,,human,bladder,bladder cancer,4,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
Gracia2021 datasets,Spatial transcriptomics,,human,ovary,ovarian cancer,4,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
Ji2020 datasets,Spatial transcriptomics,,human,various,squamous cell carcinoma and other cancers,16,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
tenx datasets (from Ji2020 study collection),10x Visium,spatial transcriptomics,human,various,"various cancers (BRCA, CERVC, IC, OVCA, PACC, ProsC)",6,,reused,LSGI: interpretable spatial gradient analysis for spatial transcriptomics data,10.1186/s13059-025-03716-1,2025,PMC12333196,literature_search,no link
Visium human heart dataset,10x Visium,spatial transcriptomics,human,heart,healthy,1,https://www.10xgenomics.com/resources/datasets/human-heart-1-standard-1-1-0,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,yes (http 200)
Visium mouse brain cortex dataset,10x Visium,spatial transcriptomics,mouse,brain cortex,healthy,2,,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,no link
Slide-seq v2 mouse cerebellum dataset,Slide-seq V2,spatial transcriptomics,mouse,cerebellum,healthy,1,,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,no link
MERFISH MOp dataset,MERFISH,spatial transcriptomics,mouse,primary motor cortex,healthy,1,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,yes (http 200)
CoNSep benchmarking dataset,H&E histology imaging,,human,colorectal adenocarcinoma / histology,healthy,,,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,no link
Kumar benchmarking dataset,H&E histology imaging,,human,various tissues,healthy,,,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,no link
STARmap PLUS Hippocampus 3D dataset (Dataset 5),STARmap PLUS,spatial transcriptomics,mouse,cortical and hippocampal regions,healthy,2,https://singlecell.broadinstitute.org/single_cell/study/SCP1375,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,yes (http 200)
Allen ISH dataset,In situ hybridization (ISH),,mouse,brain,healthy,,,reused,Integrating spatial and single-cell transcriptomics data using deep generative models with SpatialScope,10.1038/s41467-023-43629-w,2023,PMC10687049,literature_search,no link
Human HER2-positive breast cancer dataset,10X Genomics platform,,human,breast,breast cancer,32,https://github.com/almaan/her2st/,reused,THItoGene: a deep learning method for predicting spatial transcriptomics from histological images,10.1093/bib/bbad464,2024,PMC10749789,literature_search,yes (http 200)
Human cutaneous squamous cell carcinoma dataset,10X Genomics platform,,human,skin,cutaneous squamous cell carcinoma,12,GSE144240,reused,THItoGene: a deep learning method for predicting spatial transcriptomics from histological images,10.1093/bib/bbad464,2024,PMC10749789,literature_search,yes (GEO record GSE144240)
Human dorsolateral prefrontal cortex dataset,10x Visium technology,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,http://research.libd.org/spatialLIBD/,reused,THItoGene: a deep learning method for predicting spatial transcriptomics from histological images,10.1093/bib/bbad464,2024,PMC10749789,literature_search,yes (http 200)
"Mouse olfactory bulb spatial transcriptomics dataset (Replicates 5, 11, and 12)",Spatial transcriptomics through spatial barcoding,,mouse,olfactory bulb,healthy,3,https://www.spatialresearch.org/,reused,stAPAminer: Mining Spatial Patterns of Alternative Polyadenylation for Spatially Resolved Transcriptomic Studies,10.1016/j.gpb.2023.01.003,2023,PMC10787175,literature_search,"no (link is a site root, not a dataset)"
10x Visium mouse olfactory bulb dataset,10x Visium,spatial transcriptomics,mouse,olfactory bulb,healthy,,GSM4656181,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (GEO record GSM4656181)
Stereo-seq mouse olfactory bulb dataset,Stereo-seq,spatial transcriptomics,mouse,olfactory bulb,healthy,,https://github.com/JinmiaoChenLab/SEDR_analyses/tree/master/data,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (http 200)
10x Visium FFPE prostate adenocarcinoma dataset,10x Visium,spatial transcriptomics,human,prostate,prostate adenocarcinoma with invasive carcinoma,1,https://www.10xgenomics.com/datasets/human-prostate-cancer-adenocarcinoma-with-invasive-carcinoma-ffpe-1-standard-1-3-0,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (http 200)
Human OSCC dataset,10x Visium,spatial transcriptomics,human,oral squamous cell carcinoma tissue,oral squamous cell carcinoma,12,GSE208253,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (GEO record GSE208253)
Human dorsal lateral prefrontal cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,https://research.libd.org/spatialLIBD/,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (http 200)
10x Xenium mouse coronal brain dataset,10x Xenium,spatial transcriptomics,mouse,brain,healthy,1,https://www.10xgenomics.com/datasets/fresh-frozen-mouse-brain-for-xenium-explorer-demo-1-standard,reused,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,10.1093/bib/bbaf174,2025,PMC12009714,literature_search,yes (http 200)
10x Visium human dorsolateral prefrontal cortex dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,,,,reused,JADE: Joint Alignment and Deep Embedding for Multi-Slice Spatial Transcriptomics,10.1101/2025.11.21.689823,2025,PMC12699533,literature_search,no link
Stereo-seq axolotl brain dataset,Stereo-seq,spatial transcriptomics,axolotl,brain,,,,reused,JADE: Joint Alignment and Deep Embedding for Multi-Slice Spatial Transcriptomics,10.1101/2025.11.21.689823,2025,PMC12699533,literature_search,no link
Murine Heart xDBiT dataset,xDBiT,spatial transcriptomics,mouse,heart,healthy,2,,generated,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,10.1038/s41467-023-37111-w,2023,PMC10024691,literature_search,no link
Murine Kidney xDBiT dataset,xDBiT,spatial transcriptomics,mouse,kidney,healthy,4,,generated,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,10.1038/s41467-023-37111-w,2023,PMC10024691,literature_search,no link
Murine Liver xDBiT dataset,xDBiT,spatial transcriptomics,mouse,liver,healthy,2,,generated,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,10.1038/s41467-023-37111-w,2023,PMC10024691,literature_search,no link
Murine Spleen xDBiT dataset,xDBiT,spatial transcriptomics,mouse,spleen,healthy,4,,generated,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,10.1038/s41467-023-37111-w,2023,PMC10024691,literature_search,no link
Murine Cerebellum xDBiT dataset,xDBiT,spatial transcriptomics,mouse,cerebellum,healthy,2,,generated,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,10.1038/s41467-023-37111-w,2023,PMC10024691,literature_search,no link
