reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
landing page or accession only - no direct file URL resolved,weber2023_visium,LC,10x Genomics Visium,human,locus coeruleus,https://elifesciences.org/reviewed-preprints/84628,"Weber et al., The gene expression landscape of the human locus coeruleus revealed by single-nucleus and spatially-resolved transcriptomics, eLife (2023)",https://doi.org/10.7554/elife.84628.3.sa1
landing page or accession only - no direct file URL resolved,wang2021_singlecell_r,Liver single-cell RNA sequencing dataset,single-cell RNA sequencing,,liver,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-10553/results/anatomogram,"Wang et al., Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis, Sci. Rep. (2021)",https://doi.org/10.1038/s41598-021-98806-y
landing page or accession only - no direct file URL resolved,zhao2023_stereo,Lung adenosquamous carcinoma Stereo-seq data,Stereo-seq,human,lung,HRA004240,"Zhao et al., Clonal dynamics and Stereo-seq resolve origin and phenotypic plasticity of adenosquamous carcinoma, NPJ Precis Oncol (2023)",https://doi.org/10.1038/s41698-023-00430-8
landing page or accession only - no direct file URL resolved,vieira2019_singlecell_r,Lung single-cell RNA sequencing dataset,single-cell RNA sequencing,,lung,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-130148/results/anatomogram,"Vieira Braga et al., A cellular census of human lungs identifies novel cell states in health and in asthma, Nat. Med. (2019)",https://doi.org/10.3410/f.735998456.793562773
landing page or accession only - no direct file URL resolved,macsima_imaging_2025_st,MACSima imaging data and mass spectrometry proteomics data,MACSima and timsTOF SCP,Human,Tonsil cancer,PRIDE: PXD057118; BioImage Archive: S-BIAD1116,Protocol for spatial proteomic profiling of tonsil cancer microenvironments using multiplexed imaging-powered deep visual proteomics,https://doi.org/10.1016/j.xpro.2025.103901
landing page or accession only - no direct file URL resolved,masp_mouse_brain_lcms,MASP mouse brain dataset,LC-MS,mouse,brain,PXD037041,,
landing page or accession only - no direct file URL resolved,mbc_visium,MBC,Visium,Mouse,Brain (coronal),https://www.10xgenomics.com/datasets/mouse-brain-coronal-section-2-fpe-2-standard,,
landing page or accession only - no direct file URL resolved,mc_additional_da2025_xenium,"MC (additional data), Merscope, Xenium","Molecular Cartography, Merscope, Xenium",human,medulloblastoma cryosections (MBEN),https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD1093?query=S-BIAD1093,Comparison of spatial transcriptomics technologies using tumor cryosections,https://doi.org/10.1186/s13059-025-03624-4
landing page or accession only - no direct file URL resolved,maitra2023_snrnaseq,MDD snRNA-seq atlas dataset,snRNA-seq,human,dorsolateral prefrontal cortex,https://www.nature.com/articles/s41467-023-38530-5,"Maitra et al., Cell type specific transcriptomic differences in depression show similar patterns between males and females but implicate distinct cell types and genes, Nat Commun (2023)",https://doi.org/10.1101/2022.09.23.509254
landing page or accession only - no direct file URL resolved,deng2022_unknown,ME11 H3K27me3 50um,,mouse,,GSM5028434,"Deng et al., Spatial-cut&tag: spatially resolved chromatin modification profiling at the cellular level, Science (2022)",
landing page or accession only - no direct file URL resolved,mokitt2018_merfish,MERFISH,MERFISH,mouse,brain (hypothalamic preoptic region),https://datadryad.org/stash/dataset/doi:10.5061/dryad.pk0p2ngrf,"Mokitt et al., Molecular, spatial, and functional single-cell profiling of the hypothalamic preoptic region, Science (2018)",https://doi.org/10.3410/f.734323419.793574573
landing page or accession only - no direct file URL resolved,merfish_mouse_merfish,MERFISH (mouse),MERFISH,mouse,primary visual cortex (VISp),https://github.com/spacetx-spacejam/data/,,
landing page or accession only - no direct file URL resolved,fang2024_merfish,MERFISH cortex thick tissue,MERFISH,Mouse,Cortex,https://doi.org/10.5061/dryad.8sf7m0cjf,"Fang et al., Three-dimensional single-cell transcriptome imaging of thick tissues, eLife (2024)",https://doi.org/10.7554/elife.90029.2.sa1
landing page or accession only - no direct file URL resolved,moffitt2018_merfish,MERFISH data on the mouse preoptic region of the hypothalamus,MERFISH,mouse,hypothalamic preoptic region,10.5061/dryad.8t8s248,"Moffitt et al., Molecular, spatial, and functional single-cell profiling of the hypothalamic preoptic region, Science (2018)",https://doi.org/10.3410/f.734323419.793574573
landing page or accession only - no direct file URL resolved,merfish_dataset__merfish,MERFISH dataset 2,MERFISH,mouse,whole brain,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,,
landing page or accession only - no direct file URL resolved,merfish_dataset_2023_merfish_2,MERFISH dataset 2 (Vizgen MERSCOPE),Vizgen MERSCOPE platform (MERFISH),mouse,whole adult brain,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,https://doi.org/10.1038/s41586-023-06812-z
landing page or accession only - no direct file URL resolved,xia2019_merfish_2,MERFISH human osteosarcoma dataset,MERFISH,human,osteosarcoma cells,https://datadryad.org/stash/dataset/doi:10.5061/dryad.8t8s248,"Xia et al., Spatial transcriptome profiling by merfish reveals subcellular rna compartmentalization and cell cycle-dependent gene expression, Proc Natl Acad Sci U S A (2019)",https://doi.org/10.1073/pnas.1912459116
landing page or accession only - no direct file URL resolved,petukhov2022_merfish,MERFISH measurements in the mouse ileum,MERFISH,Mouse,Ileum,10.5061/dryad.jm63xsjb2,"Petukhov et al., Cell segmentation in imaging-based spatial transcriptomics, Nature Biotechnology (2022)",
landing page or accession only - no direct file URL resolved,joung2023_merfish,MERFISH mouse frontal cortex and striatum data,MERFISH,mouse,frontal cortex and striatum,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,"Joung et al., A transcription factor atlas of directed differentiation, Cell (2023)",https://doi.org/10.3410/f.742483019.793597816
landing page or accession only - no direct file URL resolved,merfish_mouse_hi_merfish,MERFISH mouse hippocampus dataset,MERFISH,mouse,hippocampus,https://doi.org/10.6084/m9.figshare.14531553,,
landing page or accession only - no direct file URL resolved,chowdhury2025_merfish,MERFISH ovarian cancer dataset (HumanOvarianCancerPatient1),MERFISH,human,ovary,https://console.cloud.google.com/storage/browser/vz-ffpe-showcase/HumanOvarianCancerPatient1,"Chowdhury et al., Learning directed acyclic graphs for ligands and receptors based on spatially resolved transcriptomic data of ovarian cancer, Brief Bioinform. (2025)",https://doi.org/10.1101/2021.08.03.454931
landing page or accession only - no direct file URL resolved,merfish_spatial__merfish,MERFISH spatial atlas of human fetal cortex,MERFISH,Human,Cerebral cortex,https://walshlab.org/research/cortexdevelopment,,
landing page or accession only - no direct file URL resolved,merfish_spatial_2025_merfish_2,MERFISH spatial transcriptomic atlas of the complement system in mouse brains,MERFISH,Mouse,Brain,10.5061/dryad.cnp5hqcbq,A spatial atlas of the complement system uncovers unique expression patterns in postnatal brain development in mice,https://doi.org/10.1038/s41467-025-66048-5
landing page or accession only - no direct file URL resolved,merfish_spatial_2025_merfish,MERFISH spatial transcriptomics dataset,MERFISH,mouse,claustro-insular region,https://doi.org/10.6084/m9.figshare.c.7953965.v1,A spatial single-cell atlas of the claustro-insular region uncovers key regulators of neuronal identity and excitability,https://doi.org/10.1038/s41467-025-63138-2
landing page or accession only - no direct file URL resolved,merfish_whole_mo_merfish,MERFISH whole mouse brain dataset,MERFISH,mouse,whole brain,https://doi.org/10.35077/g.610,,
landing page or accession only - no direct file URL resolved,merscope_breast__merscope,MERSCOPE breast cancer specimen (Vizgen),MERSCOPE,Homo sapiens,Breast cancer,https://vizgen.com/data-release-program/,,
landing page or accession only - no direct file URL resolved,pelka2021_merscope,MERSCOPE human colorectal cancer dataset,MERSCOPE,human,colorectal tumor,https://info.vizgen.com/ffpe-showcase,"Pelka et al., Spatially organized multicellular immune hubs in human colorectal cancer, Cell (2021)",https://doi.org/10.1136/jitc-2021-sitc2021.641
landing page or accession only - no direct file URL resolved,merscope_melanom_vizgen_mersc,MERSCOPE-Melanoma,Vizgen MERSCOPE,Human,Melanoma,https://info.vizgen.com/merscope-ffpe-solution,,
landing page or accession only - no direct file URL resolved,keren2019_mibi,MIBI-TOF breast cancer,MIBI-TOF,,,https://data.mendeley.com/datasets/d87vg86zd8,"Keren et al., MIBI-TOF: a multiplexed imaging platform relates cellular phenotypes and tissue structure, Sci. Adv. (2019)",https://doi.org/10.1126/sciadv.aax5851
landing page or accession only - no direct file URL resolved,jiang2023_misarseq_spa,MISAR-seq dataset,MISAR-seq (spatial ATAC-seq),mouse,embryonic brain,https://figshare.com/articles/dataset/Spatial_genomics_datasets/21623148/5,"Jiang et al., Simultaneous profiling of spatial gene expression and chromatin accessibility during mouse brain development, Nat Methods (2023)",https://doi.org/10.1101/2022.03.22.485333
landing page or accession only - no direct file URL resolved,sthl2016_spatial_barc,MOB,spatial barcoding,,mouse olfactory bulb,https://github.com/xzhoulab/SPARK-Analysis/tree/master/raw_data,"Ståhl et al., Visualization and analysis of gene expression in tissue sections by spatial transcriptomics, Science (2016)",https://doi.org/10.3410/f.726472001.793554182
landing page or accession only - no direct file URL resolved,xiaonan2022_pixelseq,MOB (Pixel-seq),Pixel-seq,mouse,olfactory bulb,https://github.com/GuLABatUW/Pixel-seq,"Xiaonan et al., Polony gels enable amplifiable DNA stamping and spatial transcriptomics of chronic pain, Cell (2022)",https://doi.org/10.1016/j.cell.2022.10.021
landing page or accession only - no direct file URL resolved,most_nissl_datas2025_tomo,MOST-Nissl dataset,micro-optical sectioning tomography (MOST) bright-field imaging,mouse,brain,https://atlas.brainsmatics.cn/STAM/,A mouse brain stereotaxic topographic atlas with isotropic 1-μm resolution,https://doi.org/10.1038/s41586-025-09211-8
landing page or accession only - no direct file URL resolved,micali2023_scrnaseq,Macaque fetal cortex scRNA-seq dataset,scRNA-seq,Macaque,Telencephalon/Cortex,http://resources.sestanlab.org/devmacaquebrain/,"Micali et al., Molecular programs of regional specification and neural stem cell fate progression in macaque telencephalon, Science (2023)",https://doi.org/10.1126/science.adf3786
landing page or accession only - no direct file URL resolved,wang2024_stereo,Maize development ear spatial transcriptome atlas (MDESTA),Stereo-seq,Zea mays,maize ear primordium,https://db.cngb.org/stomics/mdesta/,"Wang et al., A spatial transcriptome map of the developing maize ear, Nat. Plants (2024)",https://doi.org/10.21203/rs.3.rs-3037245/v1
landing page or accession only - no direct file URL resolved,chen2021_slideseq,Mammalian spermatogenesis spatial dataset,Slide-seqV2,Mouse,testicle,https://www.dropbox.com/s/q5djhy006dq1yhw/Human.7z?dl=0,"Chen et al., Dissecting mammalian spermatogenesis using spatial transcriptomics, Cell Rep. (2021)",https://doi.org/10.1242/prelights.26837
landing page or accession only - no direct file URL resolved,mccray2021_visium,"McCray et al., Visium, Prostate organoid",Visium,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM4837767,"McCray et al., Vitamin D sufficiency enhances differentiation of patient-derived prostate epithelial organoids, iScience (2021)",https://doi.org/10.1101/2020.07.17.208694
landing page or accession only - no direct file URL resolved,thrane2018_spatial_rese,Melanoma,Spatial Research,human,cutaneous malignant melanoma,https://github.com/1alnoman/ScribbleDom,"Thrane et al., Spatially resolved transcriptomics enables dissection of genetic heterogeneity in stage iii cutaneous malignant melanoma, Cancer Res (2018)",https://doi.org/10.1158/0008-5472.can-18-0747
landing page or accession only - no direct file URL resolved,thrane2018_unknown,Melanoma ST dataset,,Human,Cutaneous malignant melanoma,https://www.spatialresearch.org/resources-published-datasets/doi-10-1158-0008-5472-can-18-0747/,"Thrane et al., Spatially Resolved Transcriptomics Enables Dissection of Genetic Heterogeneity in Stage III Cutaneous Malignant Melanoma, Cancer Res. (2018)",https://doi.org/10.1158/0008-5472.can-18-0747
landing page or accession only - no direct file URL resolved,merscope_merscope_v1,Merscope,Merscope V1,Human,Medulloblastoma with extensive nodularity (MBEN) cryosections,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD1093?query=S-BIAD1093,,
landing page or accession only - no direct file URL resolved,chen2020_visium_2,Mouse AD Visium dataset,10x Visium Spatial Transcriptomics,Mouse,Brain,GEO: GSE152506,"Chen et al., Spatial transcriptomics and in situ sequencing to study Alzheimer’s disease, Cell (2020)",
landing page or accession only - no direct file URL resolved,kirita2020_snrnaseq,Mouse AKI snRNA-seq Dataset,snRNA-seq,Mouse,Kidney,GSE139107,"Kirita et al., Cell profiling of mouse acute kidney injury reveals conserved cellular responses to injury, Proc. Natl. Acad. Sci. (2020)",https://doi.org/10.1073/pnas.2005477117
landing page or accession only - no direct file URL resolved,mouse_brain_sect_visium,Mouse Brain Section 1 (Sagittal-Anterior / Posterior),10x Visium,Mouse,brain,https://support.10xgenomics.com/spatial-geneexpression/datasets,,
landing page or accession only - no direct file URL resolved,renthal2020_unknown,Mouse DRG Dataset,,Mouse,Dorsal root ganglia,GEO: GSE154659,"Renthal et al., TRanscriptional reprogramming of distinct peripheral sensory neuron subtypes after axonal injury, Neuron (2020)",https://doi.org/10.3410/f.738503514.793578280
landing page or accession only - no direct file URL resolved,nelson2023_snrnaseq,Mouse Hippocampus ECS snRNA-seq dataset,snRNA-seq,Mouse,Hippocampus,https://github.com/Erik-D-Nelson/ARG_HPC_snRNAseq/blob/main/processed_data/sce_subset.rda.xz,"Nelson et al., Activity-regulated gene expression across cell types of the mouse hippocampus, Hippocampus (2023)",https://doi.org/10.1002/hipo.23548
landing page or accession only - no direct file URL resolved,vickovic2019_stereo,Mouse Olfactory Bulb (Stereo-seq),Stereo-seq,mouse,olfactory bulb,https://github.com/JinmiaoChenLab/SEDR_analyses,"Vickovic et al., High-definition spatial transcriptomics for in situ tissue profiling, Nat Methods (2019)",https://doi.org/10.3410/f.736580626.793579537
landing page or accession only - no direct file URL resolved,sthl2016_st,Mouse Olfactory Bulb and Breast Cancer data,ST,Mouse,olfactory bulb,https://db.cngb.org/stomics/datasets/STDS0000017,"Ståhl et al., Visualization and analysis of gene expression in tissue sections by spatial transcriptomics, Science (2016)",https://doi.org/10.3410/f.726472001.793554182
landing page or accession only - no direct file URL resolved,mouse_placentati2024_stereo,Mouse Placentation Spatiotemporal Transcriptomic Atlas (MPSTA),Stereo-seq,Mouse,Uterine segments / placenta,https://db.cngb.org/stomics/mpsta/,A spatiotemporal transcriptomic atlas of mouse placentation,https://doi.org/10.1038/s41421-024-00740-6
landing page or accession only - no direct file URL resolved,polonsky2024_seqfish,Mouse Spatial Transcriptomic Dataset,seqFISH+,Mouse,Kidney,12709329,"Polonsky et al., Spatial transcriptomics defines injury specific microenvironments and cellular interactions in kidney regeneration and disease, Nat. Commun. (2024)",https://doi.org/10.1101/2023.11.22.568217
landing page or accession only - no direct file URL resolved,alon2021_exseq,Mouse VISP ExSeq,ExSeq,Mouse,Primary visual cortex (VISp),https://github.com/spacetx-spacejam/data,"Alon et al., Expansion sequencing: Spatially precise in situ transcriptomics in intact biological systems, Science (2021)",https://doi.org/10.1101/2020.05.13.094268
landing page or accession only - no direct file URL resolved,haviv2024_xenium,Mouse brain 10x Xenium ENVI,10x Xenium,Mouse,brain,10712720,"Haviv et al., The covariance environment defines cellular niches for spatial inference, Nat Biotechnol (2024)",https://doi.org/10.1038/s41587-024-02193-4
landing page or accession only - no direct file URL resolved,cellxgene_mouse_brain_merfish_benchmark,Mouse brain MERFISH (cellxgene collection),MERFISH,mouse,brain,https://cellxgene.cziscience.com/collections/0cc8620-8dee-45d0-aef5-23f032a5cf09,to resolve,
landing page or accession only - no direct file URL resolved,mouse_brain_merf2025_merfish,Mouse brain MERFISH slices,MERFISH,mouse,brain,https://info.vizgen.com/mouse-brain-data,Image guided construction of a common coordinate framework for spatial transcriptome data,https://doi.org/10.1038/s41598-025-01862-x
landing page or accession only - no direct file URL resolved,kleshchevnikov2022_unknown,Mouse brain Starfysh,,Mouse,brain,E-MTAB-11114,"Kleshchevnikov et al., Cell2location maps fine-grained cell types in spatial transcriptomics, Nat Biotechnol (2022)",https://doi.org/10.1038/s41587-021-01139-4
landing page or accession only - no direct file URL resolved,gong2024_stereo,Mouse brain Stereo-seq data (sample C04042E3),Stereo-seq,Mouse,Brain (Nervous Tissue),http://116.6.21.110:8090/share/7f5966d8-ca8c-482f-ac43-db5786414897,"Gong et al., SAW: an efficient and accurate data analysis workflow for stereo-seq spatial transcriptomics (2024)",https://doi.org/10.46471/gigabyte.111
landing page or accession only - no direct file URL resolved,yao2023_visiumhd,Mouse brain VisiumHD data and Allen Brain Atlas reference,VisiumHD,Mouse,Brain,https://satijalab.org/seurat/articles/visiumhd_analysis_vignette,"Yao et al., A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain, Nature (2023)",https://doi.org/10.1111/jnc.70406/v1/review1
landing page or accession only - no direct file URL resolved,hodge2019_unknown,Mouse brain anterior and posterior,,mouse,Mouse Brain,https://mouse.brain-map.org/static/atlas,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577
landing page or accession only - no direct file URL resolved,saunders2018_dropseq_2,Mouse brain atlas (Saunders et al.),Drop-seq,Mouse,Adult mouse brain,GSE116470,"Saunders et al., A Single-Cell Atlas of Cell Types, States, and Other Transcriptional Patterns from Nine Regions of the Adult Mouse Brain, NCBI Gene Expression Omnibus (2018)",https://doi.org/10.1101/299081
landing page or accession only - no direct file URL resolved,zeisel2018_scrnaseq,Mouse brain cell atlas / single-cell RNA-seq reference data,scRNA-seq,mouse,brain,http://mousebrain.org/adolescent/downloads.html,"Zeisel et al., Molecular Architecture of the Mouse Nervous System, Cell (2018)",
landing page or accession only - no direct file URL resolved,hu2021_visium,Mouse brain coronal section dataset,10x Visium,Mouse,Brain coronal section,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.1.0/V1_Adult_Mouse_Brain,"Hu et al., SpaGCN: integrating gene expression, spatial location and histology to identify spatial domains and spatially variable genes by graph convolutional network, Nat Methods (2021)",
landing page or accession only - no direct file URL resolved,yao2021_10x_chromium,Mouse brain cortex (Yao et al.),10x Chromium,Mouse,Brain cortex and hippocampal formation,Allen Brain Atlas Mouse-whole-cortex-and-hippocampus-10x,"Yao et al., A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation, Cell (2021)",https://doi.org/10.1101/2020.03.30.015214
landing page or accession only - no direct file URL resolved,palla2022_visium,Mouse brain fluorescence image dataset,Visium,mouse,brain,https://squidpy.readthedocs.io/en/stable/api/squidpy.datasets.visium_hne_adata.html,"Palla et al., Squidpy: a scalable framework for spatial omics analysis, Nat. Methods (2022)",https://doi.org/10.1038/s41592-021-01358-2
landing page or accession only - no direct file URL resolved,tasic2016_visium,Mouse brain sagittal data (anterior + posterior),10X Visium,Mouse,brain,https://www.10xgenomics.com/cn/resources/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0,"Tasic et al., Adult mouse cortical cell taxonomy revealed by single cell transcriptomics, Nat Neurosci. (2016)",https://doi.org/10.1038/nn.4216
landing page or accession only - no direct file URL resolved,bartosovic2022_sccuttag,Mouse brain scCUT&Tag H3K27me3 data,scCUT&Tag,Mouse,Brain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5949205,"Bartosovic et al., Multimodal chromatin profiling using nanobody-based single-cell CUT&Tag, Nat. Biotechnol. (2022)",https://doi.org/10.1038/s41587-022-01535-4
landing page or accession only - no direct file URL resolved,vicari2024_sma,Mouse brain spatial RNA + metabolomics dataset,SMA,mouse,brain,https://data.mendeley.com/datasets/w7nw4km7xd/1,"Vicari et al., Spatial multimodal analysis of transcriptomes and metabolomes in tissues, Nat. Biotechnol. (2024)",https://doi.org/10.1038/s41587-023-01937-y
landing page or accession only - no direct file URL resolved,kozareva2021_10x_chromium,Mouse cerebellar cortex (Kozareva et al.),10x Chromium (v3),Mouse,Cerebellar cortex,GSE165371,"Kozareva et al., A transcriptomic atlas of mouse cerebellar cortex reveals novel cell types, NCBI Gene Expression Omnibus (2021)",https://doi.org/10.1038/s41586-021-03220-z
landing page or accession only - no direct file URL resolved,chen2019_snareseq,Mouse cerebral cortex SNARE-seq data,SNARE-seq,mouse,cerebral cortex,GEO accession: GSE126074,"Chen et al., High-throughput sequencing of the transcriptome and chromatin accessibility in the same cell, Nat. Biotechnol. (2019)",https://doi.org/10.1038/s41587-019-0290-0
landing page or accession only - no direct file URL resolved,luo2017_snmcseq,Mouse cerebral cortex snmC-seq data,snmC-seq,mouse,cerebral cortex,https://brainome.ucsd.edu/annoj/brain_single_nuclei/,"Luo et al., Single-cell methylomes identify neuronal subtypes and regulatory elements in mammalian cortex, Science (2017)",https://doi.org/10.1126/science.aan3351
landing page or accession only - no direct file URL resolved,mayassi2024_unknown,Mouse colon spatial transcriptomic data (DSS-induced colitis),,mouse,colon,SCP2771,"Mayassi et al., Spatially restricted immune and microbiota-driven adaptation of the gut, Nature (2024)",https://doi.org/10.1038/s41586-024-08216-z
landing page or accession only - no direct file URL resolved,wang2018_starmap,"Mouse cortex consecutive sections (BZ5, BZ9, BZ14)",STARmap,Mouse,visual cortex,Drop-box visual_1020,"Wang et al., Three-dimensional intact-tissue sequencing of single-cell transcriptional states, Science (2018)",https://doi.org/10.3410/f.733482536.793547704
landing page or accession only - no direct file URL resolved,nelson2023_10x_genomics,Mouse electroconvulsive stimulation (ECS) snRNA-seq dataset,10x Genomics Chromium single-cell RNA-seq,mouse,hippocampus,https://github.com/Erik-D-Nelson/ARG_HPC_snRNAseq/blob/main/processed_data/sce_subset.rda.xz,"Nelson et al., Activity-regulated gene expression across cell types of the mouse hippocampus, Hippocampus (2023)",https://doi.org/10.1002/hipo.23548
landing page or accession only - no direct file URL resolved,palla2022_seqfish,Mouse embryo 2 (E8.5),SeqFISH,Mouse,Embryo,https://github.com/MarioniLab/SpatialMouseAtlas2020,"Palla et al., Squidpy: a scalable framework for spatial omics analysis, Nature Methods (2022)",https://doi.org/10.1038/s41592-021-01358-2
landing page or accession only - no direct file URL resolved,lohoff2020_seqfish,Mouse embryo dataset,seqFISH,mouse,embryo,https://content.cruk.cam.ac.uk/jmlab/SpatialMouseAtlas2020/,"Lohoff et al., Highly multiplexed spatially resolved gene expression profiling of mouse organogenesis (2020)",https://doi.org/10.1101/2020.11.20.391896
landing page or accession only - no direct file URL resolved,qiu2024_singlecell_r,Mouse embryo single-cell RNA sequencing reference,single-cell RNA sequencing,Mouse,Embryo,https://oncoscape.v3.sttrcancer.org/atlas.gs.washington.edu.mouse.rna/downloads,"Qiu et al., A single-cell time-lapse of mouse prenatal development from gastrula to birth, Nature (2024)",
landing page or accession only - no direct file URL resolved,mouse_hindbrain_2025_allen_brain,Mouse hindbrain coronal slice,Allen Brain Atlas,mouse,hindbrain,http://api.brain-map.org/api/v2/image_download/102118006,Image guided construction of a common coordinate framework for spatial transcriptome data,https://doi.org/10.1038/s41598-025-01862-x
landing page or accession only - no direct file URL resolved,zeisel2018_singlecell_r,Mouse hippocampus (Zeisel et al.),Single-cell RNA-seq,Mouse,Hippocampus,Linarsson Lab Mouse Brain Atlas adolescent,"Zeisel et al., Silver standard - mouse hippocampus, Linarsson Lab Mouse Brain Atlas (2018)",
landing page or accession only - no direct file URL resolved,stickels2021_slideseq,Mouse hippocampus Slide-seq and Slide-seqV2 datasets,Slide-seqV2,mouse,olfactory bulb,Broad single-cell portal SCP815,"Stickels et al., Highly sensitive spatial transcriptomics at near-cellular resolution with Slide-seqV2, Nat Biotechnol. (2021)",https://doi.org/10.3410/f.739166617.793593828
landing page or accession only - no direct file URL resolved,cable2022_slideseq,Mouse hippocampus dataset of Alzheimer's disease (J20 model),Slide-seq V2,Mouse,Hippocampus,https://singlecell.broadinstitute.org/single_cell/study/SCP1663,"Cable et al., Cell type-specific inference of differential expression in spatial transcriptomics, Nat Methods (2022)",https://doi.org/10.1038/s41592-022-01575-3
landing page or accession only - no direct file URL resolved,moffitt2018_merfish_3,Mouse hypothalamic preoptic area dataset,MERFISH,mouse,hypothalamus,https://github.com/zhengli09/BASS-Analysis,"Moffitt et al., Molecular, spatial, and functional organization of the mammalian hypothalamus, Science (2018)",
landing page or accession only - no direct file URL resolved,chen2015_merfish,Mouse hypothalamus MERFISH dataset,MERFISH,Mouse,Hypothalamus,https://info.vizgen.com/mouse-brain-map?submissionGuid=5606514b-5a81-4405-999e-327f908281cc,"Chen et al., RNA imaging. Spatially resolved, highly multiplexed RNA profiling in single cells, Science (2015)",https://doi.org/10.3410/f.725429999.793506309
landing page or accession only - no direct file URL resolved,park2018_scrnaseq_2,Mouse kidney (Park et al.),scRNA-seq,Mouse,Kidney,GSE107585,"Park et al., Comprehensive single cell RNAseq analysis of the kidney reveals novel cell types and unexpected cell plasticity, NCBI Gene Expression Omnibus (2018)",https://doi.org/10.1101/203125
landing page or accession only - no direct file URL resolved,ransick2019_visium,Mouse kidney 10x SRT dataset,Visium v1,Mouse,Kidney,GSE129798,"Ransick et al., Single-cell profiling reveals sex, lineage, and regional diversity in the mouse kidney, Dev Cell (2019)",https://doi.org/10.1016/j.devcel.2019.10.005
landing page or accession only - no direct file URL resolved,tabula2020_visium,Mouse kidney coronal section data,Visium,Mouse,Kidney,https://www.10xgenomics.com/cn/resources/datasets/mouse-kidney-section-coronal-1-standard-1-1-0,"Tabula et al., A single-cell transcriptomic atlas characterizes ageing tissues in the mouse, Nature (2020)",
landing page or accession only - no direct file URL resolved,mouse_kidney_spa2024_stereo,Mouse kidney spatial data (Stereo-seq),Stereo-seq,Mouse,Kidney,"https://doi.org/10.5287/ora-b7ob4g8ba, PRJNA1099448, GSE265819, GSE264321",Multiscale topology classifies cells in subcellular spatial transcriptomics,https://doi.org/10.1038/s41586-024-07563-1
landing page or accession only - no direct file URL resolved,zhao2022_slidednaseq,Mouse liver dataset,slide-DNA-seq and slide-RNA-seq,Mouse,Liver,PRJNA768453,"Zhao et al., Spatial genomics enables multi-modal study of clonal heterogeneity in tissues, Nature (2022)",https://doi.org/10.3410/f.741322092.793591057
landing page or accession only - no direct file URL resolved,chen2022_stereo_2,Mouse olfactory bulb (MOB) dataset (Stereo-seq),Stereo-seq,Mouse,Olfactory bulb (brain),https://db.cngb.org/stomics/mosta/,"Chen et al., Spatiotemporal transcriptomics atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2022)",
landing page or accession only - no direct file URL resolved,sthl2016_spatial_tran,Mouse olfactory bulb (MOB) dataset (replicate eight / spatial transcriptomics platform datasets),Spatial transcriptomics,human,breast tumor,10.17632/29ntw7sh4r.2,"Ståhl et al., Visualization and analysis of gene expression in tissue sections by spatial transcriptomics, Science (2016)",https://doi.org/10.3410/f.726472001.793554182
landing page or accession only - no direct file URL resolved,tepe2018_visium,Mouse olfactory bulb by Visium,Visium,mouse,olfactory bulb,https://www.10xgenomics.com/resources/datasets/adult-mouse-olfactory-bulb-1-standard-1,"Tepe et al., Single-Cell RNA-Seq of Mouse Olfactory Bulb Reveals Cellular Heterogeneity and Activity-Dependent Molecular Census of Adult-Born Neurons, Cell Rep (2018)",https://doi.org/10.1016/j.celrep.2018.11.034
landing page or accession only - no direct file URL resolved,chen2024_stereo,Mouse olfactory bulb dataset,Stereo-seq,mouse,olfactory bulb,https://github.com/JinmiaoChenLab/SEDR_analyses/tree/master/data,"Chen et al., Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2024)",https://doi.org/10.3410/f.742107472.793593483
landing page or accession only - no direct file URL resolved,sunkin2012_stereo,Mouse olfactory bulb dataset,Stereo-seq,mouse,olfactory bulb,https://github.com/JinmiaoChenLab/SEDR_analyses,"Sunkin et al., Allen brain atlas: an integrated spatio-temporal portal for exploring the central nervous system, Nucleic Acids Res (2012)",https://doi.org/10.1093/nar/gks1042
