model,model_paper_title,model_paper_link,dataset_id,usage,alias_in_model_paper
stAPAminer,stAPAminer: Mining Spatial Patterns of Alternative Polyadenylation for Spatially Resolved Transcriptomic Studies,https://doi.org/10.1016/j.gpb.2023.01.003,sthl2016_st,analysis/benchmark,mouse olfactory bulb ST data
STForte,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174,10x_visium_ffpe_2025_visium,analysis/benchmark,10x Visium mouse olfactory bulb dataset
STForte,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174,chen2022_stereo,analysis/benchmark,Stereo-seq mouse olfactory bulb dataset
STForte,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174,arora2023_visium,analysis/benchmark,Human OSCC dataset
STForte,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174,maynard2021_visium,analysis/benchmark,Human DLPFC dataset
STForte,STForte: tissue context-specific encoding and consistency-aware spatial imputation for spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbaf174,janesick2023_xenium,analysis/benchmark,10x Xenium mouse coronal brain dataset
PMC11950362,PMC11950362,PMC11950362,fang2022_merfish,analysis/benchmark,MERFISH human cortex
PMC11950362,PMC11950362,PMC11950362,stickels2021_slideseq,analysis/benchmark,Slide-seqV2 mouse hippocampus
PMC11950362,PMC11950362,PMC11950362,russell2024_slidetags,analysis/benchmark,Slide-tags human tonsil
PMC11950362,PMC11950362,PMC11950362,cosmx_melanoma_d_cosmx,analysis/benchmark,CosMx melanoma dataset
PMC10541596,PMC10541596,PMC10541596,zhang2021_merfish,analysis/benchmark,mouse primary motor cortex MERFISH dataset
PMC10541596,PMC10541596,PMC10541596,he2022_cosmx,analysis/benchmark,NSCLC CosMx dataset
PMC10541596,PMC10541596,PMC10541596,janesick2022_xenium,analysis/benchmark,DCIS Xenium dataset
PMC10541596,PMC10541596,PMC10541596,fang2023_merfish,analysis/benchmark,thick-tissue MERFISH cortex dataset
PMC10541596,PMC10541596,PMC10541596,biancalani2021_unknown,analysis/benchmark,cortex VISp data
PMC10541596,PMC10541596,PMC10541596,codeluppi2018_osmfish,analysis/benchmark,osmFISH cortex dataset
PMC8494224,PMC8494224,PMC8494224,sthl2016_spatial_tran,analysis/benchmark,mouse main olfactory bulb (MOB) Spatial Transcriptomics dataset
PMC8494224,PMC8494224,PMC8494224,rodriques2019_slideseq,analysis/benchmark,mouse cerebellum Slide-seq dataset
PMC8494224,PMC8494224,PMC8494224,fowlkes2008_in_situ_hybr,analysis/benchmark,Drosophila melanogaster embryo ISH dataset
PMC8494224,PMC8494224,PMC8494224,moffitt2018_merfish,analysis/benchmark,mouse hypothalamic preoptic region MERFISH dataset
PMC12664884,PMC12664884,PMC12664884,hirai2024_codex,analysis/benchmark,TWMU-TR
PMC12664884,PMC12664884,PMC12664884,zarkhin2008_codex,analysis/benchmark,Stanford-TR
PMC12667491,PMC12667491,PMC12667491,maynard2021_visium,analysis/benchmark,Human dorsolateral prefrontal cortex (DLPFC) dataset
PMC12667491,PMC12667491,PMC12667491,xu2024_visium_3,analysis/benchmark,Sagittal mouse brain dataset (Sections 1 and 2)
PMC12667491,PMC12667491,PMC12667491,ortiz2020_st,analysis/benchmark,Coronal mouse whole brain dataset
PMC12667491,PMC12667491,PMC12667491,chen2022_stereo,analysis/benchmark,Early mouse embryo dataset (E9.5 stage)
PMC12667491,PMC12667491,PMC12667491,asp2019_visium,analysis/benchmark,Human embryonic heart dataset
PMC12667491,PMC12667491,PMC12667491,wu2021_visium_2,analysis/benchmark,HER2-positive breast cancer dataset
PMC12667491,PMC12667491,PMC12667491,moffitt2018_merfish_3,analysis/benchmark,Mouse hypothalamic preoptic area dataset
PMC9411666,PMC9411666,PMC9411666,maynard2021_visium,analysis/benchmark,12 published 10x Genomics Visium samples (human brain) / Maynard et al. dataset
PMC9411666,PMC9411666,PMC9411666,beach2015_visium,analysis/benchmark,Four postmortem human brain samples (AD and non-AD cases) / Banner Sun Health Research Institute and Columbia University Medical Center
PMC8494229,PMC8494229,PMC8494229,moffitt2018_merfish,analysis/benchmark,MERFISH mouse coronal brain slice data set
PMC8494229,PMC8494229,PMC8494229,litviukov2020_visium,analysis/benchmark,human heart 10x Genomics Visium data set
PMC8494229,PMC8494229,PMC8494229,eng2019_seqfish,analysis/benchmark,seqFISH+ mouse somatosensory cortex data set
PMC11118457,PMC11118457,PMC11118457,goltsev2018_codex,analysis/benchmark,CODEX spleen dataset
PMC11118457,PMC11118457,PMC11118457,kennedydarling2021_codex,analysis/benchmark,CODEX tonsil dataset
PMC11118457,PMC11118457,PMC11118457,shaban2024_codex,analysis/benchmark,CODEX cHL dataset
PMC12036962,PMC12036962,PMC12036962,maynard2021_visium,analysis/benchmark,10xDLPFC
PMC12036962,PMC12036962,PMC12036962,srivatsan2021_scispace,analysis/benchmark,GSE166692
PMC12036962,PMC12036962,PMC12036962,ortiz2020_st,analysis/benchmark,GSE147747
PMC12036962,PMC12036962,PMC12036962,moncada2020_st,analysis/benchmark,GSE111672
PMC12036962,PMC12036962,PMC12036962,eng2019_seqfish,analysis/benchmark,GSE98674
PMC12036962,PMC12036962,PMC12036962,wang2018_starmap,analysis/benchmark,STARmapMBR
PMC12036962,PMC12036962,PMC12036962,chen2022_stereo,analysis/benchmark,CNP0001543
PMC12036962,PMC12036962,PMC12036962,andersson2021_st,analysis/benchmark,EGAD00001008031
PMC12036962,PMC12036962,PMC12036962,cho2021_seqscope,analysis/benchmark,GSE169706CO
PMC12036962,PMC12036962,PMC12036962,liu2020_dbit,analysis/benchmark,GSE137986E
PMC12036962,PMC12036962,PMC12036962,vickovic2019_hdst,analysis/benchmark,GSE130682
PMC12036962,PMC12036962,PMC12036962,rodriques2019_slideseq,analysis/benchmark,BISCRCE
PMC12036962,PMC12036962,PMC12036962,cable2021_slideseq,analysis/benchmark,BISCP948CE
PMC11615819,PMC11615819,PMC11615819,wang2018_starmap,analysis/benchmark,V1
PMC11615819,PMC11615819,PMC11615819,moffitt2018_merfish_3,analysis/benchmark,"Bregma-0.04, Bregma-0.09"
PMC11615819,PMC11615819,PMC11615819,codeluppi2018_osmfish,analysis/benchmark,osmFISH
PMC11615819,PMC11615819,PMC11615819,chen2022_stereo,analysis/benchmark,Stereo-seq
PMC11615819,PMC11615819,PMC11615819,maynard2021_visium,analysis/benchmark,"151507, 151508, 151509, 151510, 151671, 151672"
PMC11615819,PMC11615819,PMC11615819,andersson2021_spatial_tran,analysis/benchmark,"A1, B1, C1, D1, E1, F1, H1"
PMC11615819,PMC11615819,PMC11615819,guilliams2022_visium,analysis/benchmark,"JBO1, JBO2, JBO3, JBO4, JBO6, JBO9, JBO10"
PMC11615819,PMC11615819,PMC11615819,moncada2020_spatial_tran,analysis/benchmark,"GSM3036911, GSM3405534"
PMC11615819,PMC11615819,PMC11615819,brca_block_a_sec_visium,analysis/benchmark,BRCA Block A Section 1
PMC10024691,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,https://doi.org/10.1038/s41467-023-37111-w,liu2020_dbit,analysis/benchmark,"DBiT-seq mouse embryo datasets (GSM4189613, GSM4189612)"
PMC10024691,Spatial transcriptomics using multiplexed deterministic barcoding in tissue,https://doi.org/10.1038/s41467-023-37111-w,xdbit_multi_orga2023_dbit,analysis/benchmark,"xDBiT multi-organ datasets (cerebellum, liver, kidney, spleen, heart)"
GNTD,GNTD: reconstructing spatial transcriptomes with graph-guided neural tensor decomposition informed by spatial and functional relations,https://doi.org/10.1038/s41467-023-44017-0,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex (DLPFC) sections
GNTD,GNTD: reconstructing spatial transcriptomes with graph-guided neural tensor decomposition informed by spatial and functional relations,https://doi.org/10.1038/s41467-023-44017-0,chen2022_stereo,analysis/benchmark,Stereo-seq datasets
PMC12092627,PMC12092627,PMC12092627,comet_if_and_hyp_imc,analysis/benchmark,COMET IF and Hyperion XTi IMC dataset
PMC12092627,PMC12092627,PMC12092627,visium_spatial_t_visium_3,analysis/benchmark,Visium spatial transcriptomics dataset
PMC8351440,PMC8351440,PMC8351440,moffitt2018_merfish,analysis/benchmark,MERFISH dataset
PMC8351440,PMC8351440,PMC8351440,rodriques2019_slideseq,analysis/benchmark,Slide-seq dataset
PMC10168375,PMC10168375,PMC10168375,lohoff2022_seqfish,analysis/benchmark,Mouse Hippocampus seqFISH
PMC10168375,PMC10168375,PMC10168375,chen2015_merfish_2,analysis/benchmark,Mouse VISP MERFISH
PMC10168375,PMC10168375,PMC10168375,wang2018_starmap,analysis/benchmark,Mouse Prefrontal Cortex STARmap
PMC10168375,PMC10168375,PMC10168375,ke2013_iss,analysis/benchmark,Human Middle Temporal Gyrus ISS
PMC10168375,PMC10168375,PMC10168375,langersafer1982_fish,analysis/benchmark,Drosophila Embryo FISH
PMC10168375,PMC10168375,PMC10168375,codeluppi2018_osmfish,analysis/benchmark,Mouse Somatosensory Cortex osmFISH
PMC10168375,PMC10168375,PMC10168375,alon2021_exseq,analysis/benchmark,Mouse VISP ExSeq
PMC10168375,PMC10168375,PMC10168375,lust2022_stereo,analysis/benchmark,Axolotl Telencephalon Stereo-seq
PMC10168375,PMC10168375,PMC10168375,mouse_subventric_merfish,analysis/benchmark,Mouse Subventricular Zone MERFISH
PMC11489439,PMC11489439,PMC11489439,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex dataset (DLPFC)
PMC11489439,PMC11489439,PMC11489439,chen2022_stereo,analysis/benchmark,mouse embryo E9.5 dataset
PMC11489439,PMC11489439,PMC11489439,watanabe2023_visium,analysis/benchmark,de novo neuroendocrine prostate cancer (NEPC) coexisting with androgen receptor pathway prostate cancer (ARPC) dataset
stAA,stAA: adversarial graph autoencoder for spatial clustering task of spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbad500,pardo2022_visium,analysis/benchmark,Human dorsolateral pre-frontal cortex (DLPFC) dataset
stAA,stAA: adversarial graph autoencoder for spatial clustering task of spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbad500,rodriques2019_slideseq,analysis/benchmark,Mouse hippocampus dataset
stAA,stAA: adversarial graph autoencoder for spatial clustering task of spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbad500,stickels2021_slideseq,analysis/benchmark,Mouse olfactory bulb dataset
stAA,stAA: adversarial graph autoencoder for spatial clustering task of spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbad500,chen2022_stereo,analysis/benchmark,Mouse organogenesis spatiotemporal transcriptomic atlas (MOSTA) dataset / Mouse embryo E9.5 dataset
stAA,stAA: adversarial graph autoencoder for spatial clustering task of spatially resolved transcriptomics,https://doi.org/10.1093/bib/bbad500,wang2018_starmap,analysis/benchmark,Mouse visual cortex STARmap dataset
PMC9983268,PMC9983268,PMC9983268,maynard2021_visium,analysis/benchmark,spatialLIBD_151507 to 151676
PMC9983268,PMC9983268,PMC9983268,sthl2016_st,analysis/benchmark,Breast Cancer Layer 2 and MOB Replicate 11
PMC9983268,PMC9983268,PMC9983268,liu2020_dbit,analysis/benchmark,"DBiT-seq datasets (e.g. GSM4096261_10t, etc.)"
PMC9983268,PMC9983268,PMC9983268,eng2019_seqfish,analysis/benchmark,cortex_seqfish_plus and ob_seqfish_plus
PMC9983268,PMC9983268,PMC9983268,wang2018_starmap,analysis/benchmark,starmap_1020_0410
PMC9983268,PMC9983268,PMC9983268,stickels2021_slideseq,analysis/benchmark,Puck_190926_03
PMC9983268,PMC9983268,PMC9983268,he2022_cosmx,analysis/benchmark,"CosMx SMI datasets (Lung5_Rep1_FOV1, etc.)"
PMC9983268,PMC9983268,PMC9983268,chen2015_merfish_2,analysis/benchmark,"MERFISH datasets (HumanBreastCancerPatient1_FOV659, etc.)"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,liu2020_dbit,analysis/benchmark,"Liu et al., DBiT-seq, Embryo"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,rodriques2019_slideseq,analysis/benchmark,"Rodriques et al., Slide-seq, Brain"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,stickels2021_slideseq,analysis/benchmark,"Stickels et al., Slide-seqV2, Brain"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,vickovic2022_smomics,analysis/benchmark,"Vickovic et al., SM-Omics, Lymph node"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,ji2020_st,analysis/benchmark,"Ji et al., ST, Squamous cell carcinoma"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,navarro2020_visium,analysis/benchmark,"Navarro et al., Visium, Brain"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,ferreira2021_visium,analysis/benchmark,"Ferreira et al., Visium, Kidney"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,hunter2021_visium,analysis/benchmark,"Hunter et al., Visium, Melanoma"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,janosevic2021_visium,analysis/benchmark,"Janosevic et al., Visium, Kidney"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,joglekar2021_visium,analysis/benchmark,"Joglekar et al., Visium, Brain"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,lopez2022_visium,analysis/benchmark,"Lopez et al., Visium, Lymph node"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,mccray2021_visium,analysis/benchmark,"McCray et al., Visium, Prostate organoid"
PMC10789051,Evaluating spatially variable gene detection methods for spatial transcriptomics data,https://doi.org/10.1186/s13059-023-03145-y,wu2021_visium_2,analysis/benchmark,"Wu et al., Visium, Breast cancer"
PMC12261446,PMC12261446,PMC12261446,russell2024_slidetags_dr,analysis/benchmark,Slide-tags human melanoma
PMC11968113,PMC11968113,PMC11968113,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex (DLPFC)
PMC11968113,PMC11968113,PMC11968113,xu2024_visium,analysis/benchmark,human breast cancer (BRCA)
PMC11968113,PMC11968113,PMC11968113,ortiz2020_visium,analysis/benchmark,mouse brain (Sects 1 and 2)
PMC11968113,PMC11968113,PMC11968113,thrane2018_st,analysis/benchmark,human melanoma
PMC11968113,PMC11968113,PMC11968113,chen2022_stereo,analysis/benchmark,9.5E mouse embryo
PMC11968113,PMC11968113,PMC11968113,wang2018_osmfish,analysis/benchmark,mouse somatosensory cortex
PMC11968113,PMC11968113,PMC11968113,moffitt2018_merfish,analysis/benchmark,mouse hypothalamic preoptic regions
PMC12702057,PMC12702057,PMC12702057,he2022_cosmx,analysis/benchmark,Nanostring CosMX Non-Small Cell Lung Cancer
PMC11185656,PMC11185656,PMC11185656,maynard2021_visium,analysis/benchmark,Visium human DLPFC dataset (Maynard et al.)
PMC11185656,PMC11185656,PMC11185656,huukimyers2023_visium,analysis/benchmark,Visium human DLPFC dataset (Huuki-Myers et al.)
PMC11869467,PMC11869467,PMC11869467,maynard2021_visium,analysis/benchmark,Human dorsolateral prefrontal cortex (DLPFC) 10X Visium dataset
PMC11869467,PMC11869467,PMC11869467,moncada2020_spatial_tran,analysis/benchmark,Human pancreatic ductal adenocarcinoma (PDAC) ST dataset (PDAC-A and PDAC-B)
PMC11869467,PMC11869467,PMC11869467,guilliams2022_visium,analysis/benchmark,Mouse liver Visium dataset
PMC11869467,PMC11869467,PMC11869467,chen2022_stereo,analysis/benchmark,Mouse olfactory bulb (MOB) Stereo-seq dataset
PMC12631812,PMC12631812,PMC12631812,sthl2016_st,analysis/benchmark,mouse main olfactory bulb dataset
PMC12631812,PMC12631812,PMC12631812,chen2021_slideseq,analysis/benchmark,mouse spermatogenesis dataset
PMC12631812,PMC12631812,PMC12631812,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex dataset
PMC12631812,PMC12631812,PMC12631812,garbarino2023_visium,analysis/benchmark,human colorectal liver metastasis dataset
PMC12439975,Impact of Data Quality on Deep Learning Prediction of Spatial Transcriptomics from Histology Images,https://doi.org/10.1101/2025.09.04.674228,janesick2023_visium,analysis/benchmark,"Xenium In Situ Replicate 1 and Replicate 2, and Visium CytAssist"
PMC6765407,High-definition spatial transcriptomics for  in situ  tissue profiling,https://doi.org/10.1038/s41592-019-0548-y,hdst_main_olfact2019_hdst,analysis/benchmark,HDST Main Olfactory Bulb Dataset
PMC11798877,PMC11798877,PMC11798877,whole_body_parti_merfish,analysis/benchmark,Aging cohort 1 and 2 coronal/sagittal MERFISH datasets
PMC11798877,PMC11798877,PMC11798877,allen2023_aging_brain_merfish,analysis/benchmark,MERFISH ageing and LPS dataset
PMC11798877,PMC11798877,PMC11798877,zeng2023_starmap,analysis/benchmark,STARmap Alzheimer's disease dataset
PMC11798877,PMC11798877,PMC11798877,kukanja2024_in_situ_sequ,analysis/benchmark,In situ sequencing global demyelination dataset (EAE model)
PMC11798877,PMC11798877,PMC11798877,androvic2023_merfish,analysis/benchmark,MERFISH localized demyelination injury dataset
PMC11798877,PMC11798877,PMC11798877,sun2024_merfish,analysis/benchmark,140-gene MERFISH coronal section dataset
PMC11727256,Spatial and Single‐Cell Transcriptomics Unraveled Spatial Evolution of Papillary Thyroid Cancer,https://doi.org/10.1002/advs.202404491,primary_tumor_an2024_visium,analysis/benchmark,Primary tumor and para-carcinoma spatial transcriptomics dataset
PMC11236102,PMC11236102,PMC11236102,wang2018_starmap,analysis/benchmark,STARmap 903-gene data
PMC11236102,PMC11236102,PMC11236102,li2019_starmap,analysis/benchmark,STARmap 8-gene data
PMC11236102,PMC11236102,PMC11236102,moffitt2018_merfish,analysis/benchmark,MERFISH 140-gene data
PMC12181418,Unveiling spatial domains from spatial multi-omics data using dual-graph regularized ensemble learning,https://doi.org/10.1038/s42003-025-08372-6,human_lymph_node2025_visium,analysis/benchmark,human lymph node datasets (samples A1 and D1)
PMC12181418,Unveiling spatial domains from spatial multi-omics data using dual-graph regularized ensemble learning,https://doi.org/10.1038/s42003-025-08372-6,mouse_breast_can2025_unknown,analysis/benchmark,mouse breast cancer dataset
PMC12181418,Unveiling spatial domains from spatial multi-omics data using dual-graph regularized ensemble learning,https://doi.org/10.1038/s42003-025-08372-6,zhang2023_spatialatacr,analysis/benchmark,mouse brain dataset (P22 mouse brain sample)
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,maynard2021_visium,analysis/benchmark,Human brain dataset (Maynard's study / 12 samples)
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,chen2022_visium,analysis/benchmark,"Human brain dataset (Alzheimer's / 6 samples: 2-3-AD, 2-8-AD, T4857-AD, 2-5, 18-64, 1-1)"
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,buzzi2022_visium,analysis/benchmark,GSM5519054_Visium_MouseBrain
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,stickels2021_slideseq,analysis/benchmark,Slide-seqV2 datasets (Puck-200115–08 and others)
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,spitzer2023_4i,analysis/benchmark,184A1 datasets (CAMPA)
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,liu2020_spots,analysis/benchmark,SPOT data
PMC10896409,Graph Fourier transform for spatial omics representation and analyses of complex organs,https://doi.org/10.21203/rs.3.rs-3952048/v1,codex_tonsil_dat2024_codex,analysis/benchmark,CODEX tonsil data
PMC11978512,A computational pipeline for spatial mechano-transcriptomics,https://doi.org/10.1038/s41592-025-02618-1,lohoff2022_seqfish,analysis/benchmark,E8.5 mouse embryo seqFISH dataset
PMC10565769,PMC10565769,PMC10565769,human_tonsil_and_iss,analysis/benchmark,human tonsil and skin tissue spatial proteomics dataset
PMC12606177,PMC12606177,PMC12606177,cho2021_seqscope,analysis/benchmark,Seq-Scope mouse liver data
PMC12606177,PMC12606177,PMC12606177,chen2022_stereo,analysis/benchmark,Stereo-seq mouse embryo data
PMC12606177,PMC12606177,PMC12606177,eng2019_seqfish,analysis/benchmark,SeqFISH+ mouse embryonic fibroblast data
PMC12606177,PMC12606177,PMC12606177,zhang2023_whole_mouse_brain_merfish,analysis/benchmark,MERFISH mouse brain data
PMC12619910,PMC12619910,PMC12619910,human_breast_can_visium_4,analysis/benchmark,Mouse Embryo data
PMC12044154,PMC12044154,PMC12044154,risom2022_mibi,analysis/benchmark,DCIS
PMC12044154,PMC12044154,PMC12044154,phillips2021_codex,analysis/benchmark,CTCL
PMC12044154,PMC12044154,PMC12044154,jackson2020_imc,analysis/benchmark,BC
PMC12044154,PMC12044154,PMC12044154,shiau2024_cosmx,analysis/benchmark,PDAC
PMC12713592,PMC12713592,PMC12713592,chen2022_stereo,analysis/benchmark,Stereo-Seq spatiotemporal transcriptomics of mouse embryo
PMC12713592,PMC12713592,PMC12713592,de2025_visium,analysis/benchmark,Visium and Xenium spatial transcriptomics of colorectal cancer
PMC12713592,PMC12713592,PMC12713592,hu2024_visium,analysis/benchmark,Spatial metabolomics and transcriptomics of clear cell renal cell carcinoma (ccRCC)
PMC12713592,PMC12713592,PMC12713592,vicari2023_visium,analysis/benchmark,Spatial metabolomics and transcriptomics of human striatum brain section
PMC12265632,PMC12265632,PMC12265632,maynard2021_visium,analysis/benchmark,LIBD human dorsolateral prefrontal cortex (DLPFC) dataset
PMC12407997,Benchmarking sketching methods on spatial transcriptomics data,https://doi.org/10.1101/2025.08.26.672376,janesick2023_xenium_2,analysis/benchmark,human breast cancer
PMC12407997,Benchmarking sketching methods on spatial transcriptomics data,https://doi.org/10.1101/2025.08.26.672376,coronal_mouse_br2025_visiumhd,analysis/benchmark,coronal mouse brain
PMC12407997,Benchmarking sketching methods on spatial transcriptomics data,https://doi.org/10.1101/2025.08.26.672376,human_lung2025_xenium,analysis/benchmark,human lung
PMC12407997,Benchmarking sketching methods on spatial transcriptomics data,https://doi.org/10.1101/2025.08.26.672376,zhang2023_whole_mouse_brain_merfish,analysis/benchmark,sagittal mouse brain
PMC12407997,Benchmarking sketching methods on spatial transcriptomics data,https://doi.org/10.1101/2025.08.26.672376,huang2024_merfish,analysis/benchmark,mouse ovary
PMC8831571,PMC8831571,PMC8831571,lein2007_in_situ_hybr,analysis/benchmark,Allen Brain Atlas (ABA) in situ hybridization reference data
PMC11005702,PMC11005702,PMC11005702,asp2019_spatial_tran_2,analysis/benchmark,human developing heart dataset
PMC11005702,PMC11005702,PMC11005702,ravi2022_visium_2,analysis/benchmark,glioma ST dataset
PMC12570319,Kontextual reframes analysis of spatial omics data and reveals consistent cell relationships across images,https://doi.org/10.1016/j.crmeth.2025.101175,keren2018_mibi,analysis/benchmark,Triple negative breast cancer MIBI-TOF dataset
PMC12570319,Kontextual reframes analysis of spatial omics data and reveals consistent cell relationships across images,https://doi.org/10.1016/j.crmeth.2025.101175,fu2024_xenium,analysis/benchmark,DCIS xenium image
PMC11890069,PMC11890069,PMC11890069,codeluppi2018_osmfish,analysis/benchmark,osmFISH
PMC11890069,PMC11890069,PMC11890069,moffitt2018_merfish,analysis/benchmark,MERFISH
PMC11890069,PMC11890069,PMC11890069,zeng2023_starmap,analysis/benchmark,STARmap PLUS
PMC12667768,PMC12667768,PMC12667768,de2025_visium,analysis/benchmark,Visium_HumanColon_Oliveira
PMC12667768,PMC12667768,PMC12667768,de2025_chromium,analysis/benchmark,Chromium_HumanColon_Oliveira
PMC12667768,PMC12667768,PMC12667768,de2025_visiumhd,analysis/benchmark,VisiumHD_HumanColon_Oliveira
PMC12667768,PMC12667768,PMC12667768,janesick2023_xenium,analysis/benchmark,Xenium_HumanColon_Oliveira
PMC12693644,PMC12693644,PMC12693644,sthl2016_visium,analysis/benchmark,10X Visium Breast Cancer
PMC12693644,PMC12693644,PMC12693644,hahn2023_visium,analysis/benchmark,10X Visium Aging Mouse Brain
PMC12693644,PMC12693644,PMC12693644,fang2022_merfish,analysis/benchmark,MERFISH Human and Mouse Cortex Data
PMC12390763,PMC12390763,PMC12390763,sthl2016_spatial_tran,analysis/benchmark,MOB
PMC12390763,PMC12390763,PMC12390763,moncada2020_spatial_tran,analysis/benchmark,PDAC
PMC11258913,PMC11258913,PMC11258913,maynard2021_visium,analysis/benchmark,human dorsolateral prefrontal cortex (DLPFC) dataset
PMC11258913,PMC11258913,PMC11258913,chen2022_stereo,analysis/benchmark,mouse olfactory bulb dataset (Stereo-seq) / time-series mouse embryonic brain
PMC11258913,PMC11258913,PMC11258913,rodriques2019_slideseq,analysis/benchmark,mouse hippocampal slices
PMC11258913,PMC11258913,PMC11258913,wu2023_stereo,analysis/benchmark,liver cancer datasets
PMC11258913,PMC11258913,PMC11258913,allen2023_aging_brain_merfish,analysis/benchmark,MERFISH datasets
PMC10508757,PMC10508757,PMC10508757,moffitt2016_merfish,analysis/benchmark,mouse ileum MERFISH dataset
PMC10508757,PMC10508757,PMC10508757,liu2022_merfish,analysis/benchmark,mouse kidney MERFISH dataset
PMC10508757,PMC10508757,PMC10508757,boersma2020_seqfish,analysis/benchmark,seqFISH cell culture dataset
PMC10508757,PMC10508757,PMC10508757,feldman2019_iss,analysis/benchmark,ISS dataset in HeLa cells
PMC10508757,PMC10508757,PMC10508757,multiplexed_seqf_seqfish,analysis/benchmark,multiplexed seqFISH dataset in cultured macrophages
Spatial-DC,Spatial-DC: a robust deep learning-based method for deconvolution of spatial proteomics,https://doi.org/10.1101/2024.12.18.629082,liu2023_spatialcites,analysis/benchmark,human palatine tonsil spatial proteomics data
Spatial-DC,Spatial-DC: a robust deep learning-based method for deconvolution of spatial proteomics,https://doi.org/10.1101/2024.12.18.629082,ma2022_masp_microsc,analysis/benchmark,mouse brain coronal spatial proteomics data
Spatial-DC,Spatial-DC: a robust deep learning-based method for deconvolution of spatial proteomics,https://doi.org/10.1101/2024.12.18.629082,mouse_pdac_spati_lmdbased_lcm,analysis/benchmark,mouse PDAC spatial proteomics data
PMC11208150,Multiscale topology classifies cells in subcellular spatial transcriptomics,https://doi.org/10.1038/s41586-024-07563-1,chen2022_stereo,analysis/benchmark,Mouse brain spatial data
PMC11208150,Multiscale topology classifies cells in subcellular spatial transcriptomics,https://doi.org/10.1038/s41586-024-07563-1,mouse_kidney_spa2024_stereo,analysis/benchmark,Mouse kidney spatial data (Stereo-seq)
PMC11208150,Multiscale topology classifies cells in subcellular spatial transcriptomics,https://doi.org/10.1038/s41586-024-07563-1,human_kidney_iga2024_xenium,analysis/benchmark,Human kidney IgAN dataset (Xenium)
PMC9663444,PMC9663444,PMC9663444,he2020_visium,analysis/benchmark,"Human Cancer Datasets (Melanoma, Breast Cancer, Prostate Cancer, Glioblastoma, Colorectal Cancer, Ovarian Cancer)"
